company name,Current clients,Days per week of sanitation services,Hours logged by sanitation workers,Hours logged by public safety officers,Special event charges,Miscellaneous charges,Sanitation expenses,Public safety expenses,Streetscape & beautification expenses,Salaries,Outside contractor expenses,Insurance costs,Supplies and equipment costs,Total Quotation,Number_Of_Sanitation_Activities,Beautification_Activities,Media_Reach,Total_Staff,Sanitation_services_provided_Yes,Beautification_services_provided_Yes
Hill Signal Consulting,1282,5,88401,71314,30373,22058,86779,306560,209500,590101,63112,109201,6878,624897,138292,705,24802925,150,1,1
General Source Graphics,1282,7,157474,71314,167592,104206,418756,324582,24275,1064643,132205,100557,19273,871819,195471,705,20694619,64,1,1
Interactive Federated Technology,1282,7,22885,55421,449206,47177,428098,109738,41822,341499,1159557,16636,17191,626835,106447,539,32750117,102,1,1
Contract Signal Provider,3140,7,68119,113623,281710,27406,169905,86627,10254,325462,87016,68412,18163,294192,256231,1054,1257529,50,1,1
Venture Bell Universal,1195,1,29605,109491,449206,50159,547832,109754,198618,497553,18216,72504,13348,906363,274254,657,39776082,37,1,1
Digital Technology Pacific,1195,7,27233,15587,442174,54034,343654,26230,191125,1016617,135539,10700,7573,615043,163727,974,10412400,87,1,1
Venture Internet Software,76,7,138716,89790,360146,71183,82457,9200,44994,745977,141811,68762,19279,207834,61980,1022,30946261,27,0,0
Interactive Pacific Star,76,7,161050,89790,167592,104213,418720,324606,24273,1064647,132225,100562,19315,871812,195492,651,18575242,37,1,1
Industries Electronics Future,76,7,25772,42358,360146,14946,574595,293643,187634,1189045,72650,75694,13058,1070818,146772,702,54250026,70,1,1
Hardware Construction Systems,664,7,47726,132222,403576,15336,370784,109704,147296,621218,45798,64482,11036,643120,93033,438,71083866,80,1,1
Application Omega People,645,7,150577,132222,19576,102206,508766,26233,51519,600488,21460,53735,10680,688724,160153,524,13604758,119,1,1
West Technology Atlantic,365,7,51933,46374,34603,101296,342424,29743,241389,345628,62417,21339,9989,714852,74919,928,1605720,77,1,1
Max Virtual Construction,123,7,137129,46374,19576,102223,508806,26206,51545,600492,21421,53745,10698,688780,160114,407,14042291,82,1,1
Medicine Star Design,573,7,167059,67916,196511,31068,540508,127352,160838,377012,114353,88763,18857,859766,43725,431,55274958,130,1,1
Star Speed Architecture,411,7,95680,85894,206317,61778,340012,320748,56550,984563,98068,63868,4354,779088,153059,935,13973236,42,1,1
Provider Advanced Solutions,162,7,132133,85894,9795,113372,317121,78622,92330,202158,99159,77462,19171,601445,92445,723,9663872,140,1,0
Digital North Adventure,1375,7,68083,78478,281710,116256,342231,161276,127552,255309,8748,63175,16188,747315,160315,740,16916552,68,1,1
Software Signal Frontier,1146,7,72226,78478,403576,7281,494752,13777,184108,222811,57060,103165,14348,699918,130269,654,6036170,115,0,1
West Systems Interactive,285,7,71845,14441,281710,64038,316424,133264,27273,1189463,73712,78102,17997,540999,164523,663,6209360,129,1,1
Technology Venture Venture,822,7,34687,6172,291340,57494,486572,266617,136227,222466,93328,9868,2158,946910,220849,859,45517076,103,1,1
Network Source Direct,1065,7,58783,105061,76796,9749,93049,179241,75533,841303,69485,40128,1001,357572,261973,342,14901876,66,1,1
Electronic General Industries,313,7,66830,130481,403576,15312,370797,109753,147257,621222,45802,64517,11006,643119,93081,490,69101921,49,1,1
Architecture Resource Direct,624,7,77569,33045,360146,16565,76256,40773,39227,194107,101379,2059,3748,172821,89984,569,8195155,71,1,1
Omega Data Signal,654,7,85036,16622,281710,64052,316444,133287,27340,1189452,73704,78113,17946,541123,164465,717,5181036,76,1,1
Graphics Provider General,654,7,85736,16622,454427,70626,167250,324823,105298,1036707,29229,72793,8393,667997,217897,531,16039774,90,1,1
North Star Data,603,7,142797,16622,19576,102199,508774,26256,51571,600531,21447,53802,10736,688800,160065,399,14565885,78,1,1
Speed East Virtual,1022,5,89179,16622,30373,22058,86741,306590,209495,590113,63073,109160,6952,624884,138392,636,23160553,174,1,1
Architecture Building Construction,867,7,158379,125258,192313,103346,566268,114251,237617,377029,120200,73734,12583,1021482,250410,267,20925926,106,1,1
Systems East Construction,469,7,78737,30332,281710,85056,157532,53995,126266,660248,140078,1705,9671,422849,259288,802,4088692,153,1,1
Provider Interactive Direct,244,7,111595,58436,217535,111321,294276,249862,244785,921550,59007,71378,7966,900244,267237,526,7639668,115,1,0
Advanced Hardware Power,1232,7,50509,111938,167592,63369,277650,44273,79348,436492,139786,76789,13395,464640,262477,827,372090,112,1,1
Signal Hardware People,5721,7,79448,47257,281710,116271,33964,184164,64208,51851,30989,54259,8521,398607,96952,711,34161291,99,1,1
South Speed Power,2062,7,119577,31332,281710,25202,441191,146599,119313,254104,7281,112713,5346,732305,79666,725,38122699,85,1,0
Analysis Virtual Hill,609,7,40549,114392,76796,9729,93049,179261,75524,841300,69457,40135,964,357563,261954,482,20481226,78,1,1
Power Star Net,791,7,85888,114392,121123,37470,91560,202883,57236,979991,12306,61584,18630,389149,217405,460,31794734,134,1,1
Technology Power North,653,7,99541,18570,449206,30035,353095,53946,37472,660252,132302,104809,9334,474548,214400,402,6759097,49,1,1
Medicine Research Data,1612,7,53118,77059,281710,116247,342238,161279,127480,255331,8702,63143,16215,747244,160298,830,25891072,56,1,1
Resource Signal Innovation,140,7,80922,8702,211646,122188,328328,276051,172248,776940,15161,27253,2195,898815,105567,830,14456730,100,1,1
Net Telecom Star,818,7,143185,8702,19576,102209,508789,26236,51558,600483,21464,53799,10675,688792,160016,526,16222728,54,1,1
Consulting Net Technology,818,7,27724,43186,360146,14925,574571,293647,187643,1188978,72679,75698,13048,1070786,146765,606,45787549,42,1,1
General Power Hill,724,3,86668,43186,196511,49254,322516,204909,236516,1189579,111383,89836,2569,813195,123979,652,9712668,75,1,0
Analysis General Telecom,448,7,55350,125217,403576,15335,370785,109698,147245,621175,45826,64491,11062,643063,93052,375,62637100,35,1,1
Research Advanced Medicine,448,7,72191,125217,454427,70637,167301,324827,105321,1036684,29251,72821,8378,668086,217877,468,12311615,113,1,1
Resource General Federated,904,7,176301,125217,225721,114168,568051,87142,158036,661096,141728,52449,9708,927397,240867,1036,34821023,79,1,1
Digital Internet Architecture,904,7,160127,125217,167592,104162,418763,324630,24264,1064650,132198,100590,19270,871819,195433,708,15764007,78,1,1
Net Galaxy Research,674,7,188698,8348,34603,19568,457878,69709,61877,1107434,94854,43776,11303,609032,173557,1138,13731798,133,1,1
Federated Building North,494,7,59004,62452,291340,47773,214557,86559,127023,467354,30952,19721,4800,475912,59222,817,14521657,127,1,1
Solutions North Data,816,7,60034,103391,167592,84290,89671,261553,65184,37494,132182,80583,12337,500698,129642,652,27722017,113,1,1
Net Interactive Adventure,607,7,72636,28782,281710,85033,157516,54003,126291,660227,140055,1714,9680,422843,259231,650,2516298,154,1,1
Solutions Software Future,712,7,64156,70961,291340,47836,214573,86524,127040,467417,30950,19706,4816,475973,59294,670,11073237,107,1,1
South Consulting Speed,1935,7,145161,28947,281710,25180,441193,146663,119326,254110,7276,112713,5308,732362,79708,770,37337753,116,1,0
Consulting People Industries,1935,7,28424,4026,442174,54036,343585,26259,191102,1016656,135563,10731,7565,614982,163605,920,12858287,60,1,1
Innovation Advanced Source,835,1,128675,4026,211646,98718,151747,34055,219682,1106767,15208,57463,18489,504202,87174,1022,9289931,49,1,1
South Provider Medicine,835,7,44691,15171,442174,54000,343619,26235,191146,1016582,135592,10713,7539,615000,163718,795,12389153,85,1,1
Technology Telecom Solutions,952,5,116396,15171,454427,112014,116194,87126,63120,1077024,141781,23156,5055,378454,74276,691,72475343,114,1,1
Advanced Systems Telecom,952,7,161559,15171,423722,81998,327024,261892,201113,1174496,141087,90621,19654,872027,246063,676,9265687,119,1,1
Consulting East Software,574,5,131623,15171,454427,71843,258651,87108,91164,1178032,141775,6924,1555,508766,81523,760,34595993,45,1,1
Application Omega Electronic,518,7,152047,15171,403576,76432,494818,29649,235456,568934,63551,63555,16840,836355,108151,1224,11657830,22,1,1
Provider Resource Star,518,7,132391,84678,403576,54473,231295,196621,25161,238670,63348,69912,13616,507550,54637,462,36844909,39,1,1
Provider People Systems,518,7,36115,37941,360146,14921,574613,293670,187624,1188991,72654,75683,13007,1070828,146691,656,46786310,33,1,1
East Construction Atlantic,195,7,28172,71887,360146,68240,82410,169107,180082,425436,72152,70637,14715,499839,194265,567,20980422,131,1,1
Virtual Adventure Venture,1054,7,68265,41999,281710,85020,157467,53956,126266,660259,140025,1725,9665,422709,259247,793,3815830,128,1,1
Building Alpha Technology,368,7,87145,20720,449206,30004,353040,276015,37450,776921,132294,104762,9359,696509,214482,440,7587566,94,1,1
Power Digital Advanced,1989,7,113779,77235,281710,30981,165579,116091,47389,1081577,105661,68393,16323,360040,234597,380,6778032,84,1,1
Studio West Omega,318,7,180384,17544,34603,19559,457892,69703,61919,1107395,94854,43798,11276,609073,173528,1162,11904993,138,1,1
Medicine Pacific Research,469,7,71406,99866,336921,8561,566600,31489,131712,700146,58247,21527,2618,738362,75954,640,27705596,123,1,1
Max Federated Graphics,786,7,70731,97930,121123,25545,234771,180033,190117,65963,72237,66455,11508,630466,169048,896,31829609,97,1,1
Omega Pacific People,786,7,84521,21492,232796,38825,433015,340513,76868,849187,79961,15803,16496,889221,66767,686,11205946,69,1,1
Future Hardware Star,821,7,43870,104676,167592,84300,89707,261600,65196,37459,132186,80636,12350,500803,129580,716,33075083,104,1,1
Future Star Network,821,7,96133,104676,454427,70594,167262,324822,105301,1036697,29238,72810,8342,667979,217821,438,12924327,91,1,1
Design Solutions Building,1287,7,57052,110141,167592,63365,277702,44322,79362,436485,139759,76782,13388,464751,262533,872,183858,118,1,1
Adventure Vision Speed,3319,7,76940,122763,281710,27338,169938,86639,10252,325484,87066,68442,18149,294167,256265,1009,1217689,57,1,1
West Application Virtual,774,7,83024,73100,206317,61773,340015,320711,56517,984528,98029,63815,4388,779016,153066,929,13346417,16,1,1
Virtual Systems Atlantic,484,7,153167,94407,360146,71171,82412,9179,44940,745959,141845,68823,19256,207702,61938,943,31813428,3,0,0
Virtual Innovation Application,847,7,114901,62286,217535,111299,294295,249914,244777,921594,59018,71372,7920,900285,267256,576,6065366,46,1,0
Future Power Speed,598,7,94276,15858,449206,29965,353051,53971,37468,660216,132326,104825,9343,474455,214492,311,8560614,50,1,1
Medicine Design Building,901,7,146299,67642,196511,31060,540510,127399,160830,377040,114318,88782,18864,859799,43675,420,56654112,74,1,1
Venture North Consulting,409,7,16115,67642,76796,95156,442562,34065,58995,785068,74740,9814,15958,630778,143432,775,10686507,80,1,0
Technology Bell Universal,342,7,57245,124229,403576,15306,370800,109736,147305,621175,45799,64452,11012,643147,93017,453,69651780,62,1,1
Galaxy Telecom Application,682,7,37785,63907,281710,102961,528612,20575,212374,484275,94014,17045,12641,864522,194566,703,3684866,90,1,0
South Resource Software,572,7,154133,63907,9795,113338,317140,78639,92339,202136,99216,77426,19142,601456,92408,698,13529982,110,1,0
Venture Software Vision,430,7,67061,102870,121123,25553,234798,180013,190102,65955,72206,66420,11513,630466,169050,926,30605447,106,1,1
Federated Provider Contract,1230,1,30421,102995,449206,50168,547835,109704,198626,497595,18227,72488,13324,906333,274305,643,42616207,104,1,1
Medicine Direct Research,903,7,137408,102995,403576,76414,494795,29646,235458,568923,63583,63528,16821,836313,108211,1190,12942508,11,1,1
Technology General Star,1421,7,97166,69955,281710,31000,165543,116105,47375,1081518,105655,68394,16327,360023,234560,373,10254255,97,1,1
Application Universal Internet,633,7,58272,11471,211646,122175,328298,275984,172244,776944,15166,27256,2218,898701,105645,806,10211645,92,1,1
Interactive Provider Network,92,7,164759,96130,360146,71122,82420,9215,44964,745963,141814,68802,19326,207721,61934,973,40222432,37,0,0
Hardware Technology Design,623,7,97811,57617,217535,111249,294227,249909,244800,921621,58975,71332,7976,900185,267198,546,7193310,49,1,0
Vision Electronics General,421,7,164046,57617,225721,114109,568046,87073,157960,661121,141751,52448,9666,927188,240859,1013,34670565,90,1,1
Industries Innovation Analysis,337,3,74377,57617,196511,49221,322529,204931,236473,1189556,111454,89873,2625,813154,123898,635,11250461,73,1,0
Adventure Contract Software,510,7,68319,34982,360146,16615,76312,40779,39213,194110,101416,2039,3711,172919,89982,539,-4317945,94,1,1
North South Internet,699,1,144908,34982,211646,98765,151779,34038,219701,1106747,15227,57412,18521,504283,87148,1051,13470860,59,1,1
Star Medicine Bell,722,7,38686,66572,281710,102995,528605,20584,212374,484253,93950,17059,12647,864558,194600,726,4608532,103,1,0
Telecom Source Graphics,822,7,170029,66572,225721,114113,568073,87094,158021,660241,141722,52427,9669,927301,240939,1002,25701382,82,1,1
Bell General Construction,464,7,108668,14127,449206,29998,353078,53945,37454,660214,132362,104802,9374,474475,214445,425,8899363,72,1,1
Source Studio Research,330,7,106120,56228,217535,111290,294260,249901,244788,921572,58968,71333,7937,900239,267291,562,7554012,63,1,0
Contract General Provider,401,7,113309,101915,281710,47080,449079,256955,181693,1178385,3742,69543,5858,934807,196671,650,34453292,114,1,0
Consulting Provider Vision,160,7,35429,68220,360146,68251,82432,169054,180095,425496,72159,70651,14719,499832,194289,600,22098990,153,1,1
Max Power Solutions,549,7,112998,107526,281710,47108,449044,256926,181721,1178430,3774,69569,5859,934799,196569,662,31865860,89,1,0
Federated Graphics General,307,7,72995,30010,281710,85061,157530,53962,126249,660271,140083,1725,9645,422802,259261,658,456306,138,1,1
Medicine Virtual Application,553,5,120390,30010,454427,71852,258613,87122,91210,1178070,141741,6921,1544,508797,81544,749,39819077,92,1,1
Signal People East,637,5,137535,30010,454427,71860,258649,87091,91166,1178097,141787,6954,1496,508766,81580,795,37283579,69,1,1
Analysis Frontier West,414,7,70435,95442,217535,71709,68075,287332,87018,916941,137465,96636,16947,514134,125913,533,7657520,55,1,1
Design Application Galaxy,293,7,72362,21909,281710,64111,316451,133269,27340,1189495,73754,78113,18003,541171,164520,597,6300099,90,1,1
Hardware Max Frontier,785,7,90117,21909,19576,59424,177320,236768,168171,661114,54665,89473,17169,641683,99786,343,69129339,96,1,1
Source Frontier Federated,324,7,79835,27966,360146,16608,76273,40729,39207,194154,101408,2007,3767,172817,89933,572,-2728827,65,1,1
Advanced Atlantic Hardware,423,7,109573,55894,217535,111284,294232,249858,244774,921558,58980,71317,7943,900148,267288,626,6124723,57,1,0
General Pacific North,845,7,79923,128414,19576,1295,560389,71894,233543,776128,61058,89745,2553,867121,243448,636,5498401,102,1,1
Speed Net Galaxy,768,7,64488,71084,291340,47839,214548,86517,127025,467353,30995,19724,4791,475929,59339,741,17308885,104,1,1
Signal Bell Provider,781,7,73008,32744,20214,80426,502337,229207,78411,733656,130393,21217,13076,890381,86756,945,37922717,61,1,1
People Venture Architecture,389,7,177857,114322,192313,103349,566327,114288,237638,377041,120198,73723,12581,1021602,250395,243,24309563,82,1,1
Construction Systems General,950,7,71504,98391,336921,8605,566627,31473,131665,700092,58253,21553,2589,738370,75953,720,28939903,121,1,1
Software Contract Venture,785,5,142776,98391,454427,71795,258631,87093,91212,1178034,141728,6956,1486,508731,81556,758,35221004,31,1,1
Direct Analysis Source,640,7,95589,110288,281710,47070,449091,256962,181720,1178445,3810,69567,5813,934843,196648,722,35177572,131,1,0
Innovation Network Systems,607,7,56985,124760,403576,15302,370773,109714,147306,621231,45779,64501,11019,643095,93107,395,57935479,50,1,1
Vision Direct Speed,607,7,56985,124760,211646,122143,328329,276016,172250,776969,15173,27301,2238,898738,93107,395,57935479,50,1,1
Omega Direct West,410,7,179241,12162,34603,19592,457861,69687,61927,1107412,94826,43769,11269,609067,173592,1188,17994117,137,1,1
Vision Adventure Interactive,663,7,161610,115163,192313,103348,566292,114314,237644,377056,120160,73702,12611,1021598,250477,200,22118761,151,1,1
Star Galaxy General,135,5,145539,115163,454427,71811,258651,87135,91165,1178057,141787,6931,1540,508762,81583,784,45374658,63,1,1
Internet Max Electronics,376,7,75442,44965,34603,101271,342383,29771,241377,345632,62439,21342,9999,714802,74939,977,6033518,43,1,1
Graphics Software Electronic,405,7,83740,127112,19576,1315,560398,71873,233574,776155,61019,89749,2516,867160,243530,645,5615481,88,1,1
Source Venture Federated,489,7,144329,93682,360146,71118,82458,9162,44972,745942,141813,68762,19287,207710,62031,938,36791685,29,0,0
